ts_ms,seq,best_bid,best_ask,bid_size,ask_size
1766200185919,501512516995,88170.9000000000,88171.0000000000,1.6410000000,1.1120000000
1766200190259,501512522299,88170.9000000000,88171.0000000000,1.6060000000,0.9670000000
1766200193699,501512528004,88170.9000000000,88171.0000000000,1.6000000000,0.9730000000
1766200197399,501512540289,88170.9000000000,88171.0000000000,2.6610000000,0.9080000000
1766200200920,501512555664,88174.2000000000,88174.3000000000,3.5680000000,0.7730000000
1766200205060,501512562612,88174.2000000000,88174.3000000000,3.5660000000,0.7670000000
1766200208979,501512592506,88179.9000000000,88180.0000000000,5.1350000000,0.0430000000
