order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
0,1766322156779,501952994614,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88634.4,88635.6,0,0,20,0,0,0,0,0,0
0,1766322156799,501952994674,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88634.4,88633.2,0,0,20,0,0,0,0,0,0
0,1766322156819,501952994722,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88634.4,88635.6,0,0,20,0,0,0,0,0,0
0,1766322156919,501952994968,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88634.4,88633.2,0,0,20,0,0,0,0,0,0
0,1766322156939,501952995027,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88634.4,88635.6,0,0,20,0,0,0,0,0,0
0,1766322157019,501952995214,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
0,1766322157039,501952995266,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.3,0,0,20,0,0,0,0,0,0
0,1766322157119,501952995379,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
0,1766322157139,501952995486,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.3,0,0,20,0,0,0,0,0,0
0,1766322157179,501952995696,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
0,1766322157199,501952995804,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.3,0,0,20,0,0,0,0,0,0
0,1766322157219,501952995851,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
0,1766322157240,501952995894,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.3,0,0,20,0,0,0,0,0,0
0,1766322157259,501952995931,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
0,1766322157279,501952995966,rejected,BUY,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.3,0,0,20,0,0,0,0,0,0
0,1766322157299,501952996000,rejected,SELL,NONE,DEMO,MinQty,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,20,0,0,0,0,0,0
